Issuer ID,Issuer Name,Industry,Issuer Credit Rating,Issuance ID,Type of Issuance,Issue Date,Issuance Size,Currency,Market Risk Score,Counterparty Risk Score,Liquidity Risk Score,Geopolitical Risk Score,Regulatory Compliance Flags,Audit Trail,Approver ID,Approval Date,Compliance Check Status,P/E Ratio,Debt-to-Equity Ratio,Operating Margin,Interest Coverage Ratio,Historical Volatility,Past Issuance Performance
48,Issuer_48,Consumer Goods,AAA,2955,Bond,2023-12-31,14305602.88,CNY,4.78,6.37,3.65,7.14,Moderate,Audit details 47,23,2023-12-31,Non-Compliant,20.65,1.7,42.24,7.54,13.31,Positive
49,Issuer_49,Finance,BB,3450,Stock,2024-01-31,48297339.69,EUR,0.83,5.55,4.88,4.94,None,Audit details 48,21,2024-01-31,Compliant,27.15,0.8,38.05,7.68,26.04,Negative
50,Issuer_50,Energy,B,2369,Bond,2024-02-29,23405992.92,CNY,5.28,0.91,8.51,7.55,Severe,Audit details 49,19,2024-02-29,Compliant,20.4,2.64,31.31,4.83,5.31,Negative
51,Issuer_51,Energy,BBB,2986,Stock,2024-03-31,42259130.68,GBP,4.36,7.26,0.88,1.03,None,Audit details 50,48,2024-03-31,Under Review,10.82,2.39,6.56,4.11,20.78,Neutral
52,Issuer_52,Energy,BBB,2534,Stock,2024-04-30,10524621.67,CNY,8.02,5.47,8.06,5.36,None,Audit details 51,19,2024-04-30,Under Review,5.61,1.98,1.63,4.34,25.14,Neutral
53,Issuer_53,Energy,BBB,1146,Stock,2024-05-31,21156341.35,JPY,9.78,4.51,0.56,3.79,Severe,Audit details 52,36,2024-05-31,Compliant,26.75,2.55,46.04,9.89,28.34,Neutral
54,Issuer_54,Consumer Goods,BBB,4219,Stock,2024-06-30,35276098.33,USD,5.56,9.1,8.42,4.57,Minor,Audit details 53,29,2024-06-30,Under Review,5.53,2.6,30.83,1.36,20.5,Neutral
55,Issuer_55,Healthcare,BBB,3911,Stock,2024-07-31,7779301.53,CNY,3.23,2.98,0.52,6.04,Minor,Audit details 54,18,2024-07-31,Under Review,26.87,2.13,39.83,8.8,14.92,Positive
56,Issuer_56,Technology,B,2734,Bond,2024-08-31,7504525.69,CNY,0.43,5.24,0.18,5.02,Severe,Audit details 55,2,2024-08-31,Under Review,18.22,2.51,24.08,6.21,18.54,Positive
57,Issuer_57,Energy,B,2843,Bond,2024-09-30,48507306.49,USD,9.25,6.98,6.97,5.4,Moderate,Audit details 56,1,2024-09-30,Non-Compliant,28.48,2.09,5.87,4.95,26.07,Neutral
58,Issuer_58,Finance,A,1488,Stock,2024-10-31,36015160.1,JPY,9.19,7.96,9.97,4.86,None,Audit details 57,47,2024-10-31,Non-Compliant,24.97,2.04,6.26,7.53,17.12,Positive
59,Issuer_59,Energy,AA,3976,Stock,2024-11-30,3012308.32,EUR,2.53,4.59,8.97,4.09,Severe,Audit details 58,5,2024-11-30,Under Review,29.95,1.86,34.28,5.38,0.91,Neutral
60,Issuer_60,Finance,BBB,2959,Bond,2024-12-31,20542224.17,CNY,6.95,8.42,5.76,7.72,None,Audit details 59,20,2024-12-31,Under Review,13.77,2.26,21.52,8.86,27.93,Negative
61,Issuer_61,Finance,AAA,2663,Bond,2025-01-31,22242516.14,USD,0.75,7.69,9.17,0.12,Moderate,Audit details 60,11,2025-01-31,Non-Compliant,24.18,0.48,10.03,9.11,20.69,Negative
62,Issuer_62,Energy,B,3598,Stock,2025-02-28,37458089.51,GBP,1.66,0.66,0.05,5.98,None,Audit details 61,42,2025-02-28,Non-Compliant,15.05,2.64,24.58,4.8,20.3,Negative
63,Issuer_63,Consumer Goods,AAA,3385,Bond,2025-03-31,13292165.84,USD,2.17,0.46,9.75,5.66,Severe,Audit details 62,2,2025-03-31,Compliant,17.0,2.62,3.21,3.49,6.47,Neutral
64,Issuer_64,Finance,AAA,3919,Stock,2025-04-30,10032350.04,GBP,2.94,6.21,4.91,7.16,None,Audit details 63,3,2025-04-30,Compliant,20.69,0.09,29.1,6.33,19.77,Negative
65,Issuer_65,Finance,AAA,1640,Bond,2025-05-31,4962775.36,JPY,9.96,3.47,7.23,5.99,Minor,Audit details 64,23,2025-05-31,Non-Compliant,26.84,2.48,13.45,9.21,11.82,Positive
66,Issuer_66,Energy,A,2802,Stock,2025-06-30,21987409.27,EUR,6.97,2.09,8.21,8.27,Moderate,Audit details 65,12,2025-06-30,Under Review,29.6,0.39,39.88,2.9,19.54,Negative
67,Issuer_67,Finance,B,3520,Bond,2025-07-31,34736495.14,USD,3.84,5.8,7.18,9.59,Moderate,Audit details 66,20,2025-07-31,Under Review,24.21,1.01,15.52,6.61,3.2,Negative
68,Issuer_68,Finance,AAA,2969,Stock,2025-08-31,3851486.18,CNY,7.37,3.42,5.35,3.43,Moderate,Audit details 67,5,2025-08-31,Under Review,15.44,2.23,22.76,6.68,19.74,Negative
69,Issuer_69,Energy,BBB,3198,Bond,2025-09-30,45845472.65,JPY,9.15,5.37,4.77,2.27,Severe,Audit details 68,37,2025-09-30,Under Review,15.53,0.48,0.58,7.6,29.98,Positive
70,Issuer_70,Energy,BB,2438,Bond,2025-10-31,22675259.26,USD,9.59,4.6,8.39,4.24,Moderate,Audit details 69,38,2025-10-31,Compliant,23.44,2.45,3.62,2.18,1.45,Neutral
71,Issuer_71,Technology,AAA,4369,Stock,2025-11-30,12749580.6,CNY,0.58,5.85,2.05,2.88,Minor,Audit details 70,30,2025-11-30,Non-Compliant,10.97,2.5,19.62,7.44,29.32,Positive
72,Issuer_72,Consumer Goods,A,2634,Bond,2025-12-31,5599791.21,USD,3.95,4.0,9.68,6.15,Severe,Audit details 71,9,2025-12-31,Under Review,7.76,1.52,24.0,9.18,12.21,Neutral
73,Issuer_73,Consumer Goods,B,1262,Stock,2026-01-31,9960433.86,GBP,1.07,6.98,7.11,9.12,Minor,Audit details 72,34,2026-01-31,Compliant,13.87,0.02,30.0,2.62,26.12,Neutral
74,Issuer_74,Finance,A,2787,Bond,2026-02-28,46796085.87,USD,3.36,1.8,2.0,1.39,None,Audit details 73,44,2026-02-28,Under Review,12.18,0.86,14.58,3.14,23.47,Negative
75,Issuer_75,Consumer Goods,AAA,3191,Stock,2026-03-31,32275259.1,USD,1.7,6.97,7.36,1.01,None,Audit details 74,35,2026-03-31,Non-Compliant,12.41,1.85,34.75,9.74,17.01,Neutral
76,Issuer_76,Finance,B,3393,Bond,2026-04-30,26318116.61,USD,6.47,4.12,5.3,2.56,None,Audit details 75,22,2026-04-30,Compliant,10.84,2.94,43.01,2.63,22.15,Positive
77,Issuer_77,Technology,BB,1623,Stock,2026-05-31,33198455.1,JPY,3.88,8.74,7.07,7.26,None,Audit details 76,44,2026-05-31,Non-Compliant,6.05,1.9,38.99,8.69,26.36,Positive
78,Issuer_78,Energy,AAA,2016,Bond,2026-06-30,22347972.04,USD,2.29,5.15,7.68,5.93,Minor,Audit details 77,24,2026-06-30,Non-Compliant,5.45,0.78,1.98,5.43,12.12,Neutral
79,Issuer_79,Energy,A,4643,Stock,2026-07-31,36771926.51,CNY,2.66,9.73,0.87,1.02,Severe,Audit details 78,17,2026-07-31,Compliant,29.69,1.9,24.03,3.23,9.81,Negative
80,Issuer_80,Energy,AA,1880,Bond,2026-08-31,3338090.26,GBP,3.6,6.02,5.06,9.19,Severe,Audit details 79,10,2026-08-31,Compliant,15.69,1.62,5.25,8.84,20.03,Negative
81,Issuer_81,Consumer Goods,BBB,3049,Stock,2026-09-30,28735823.31,GBP,2.6,2.24,9.32,7.9,Moderate,Audit details 80,30,2026-09-30,Compliant,14.61,2.34,12.1,5.01,24.24,Positive
82,Issuer_82,Technology,A,3944,Stock,2026-10-31,8773675.93,USD,4.53,8.22,3.21,0.23,Minor,Audit details 81,46,2026-10-31,Compliant,21.99,0.32,49.33,5.63,22.87,Negative
83,Issuer_83,Consumer Goods,B,2327,Stock,2026-11-30,6888067.74,JPY,0.32,3.45,5.94,6.51,None,Audit details 82,23,2026-11-30,Compliant,10.46,2.28,7.12,4.23,23.93,Neutral
84,Issuer_84,Consumer Goods,AAA,3301,Bond,2026-12-31,17752103.67,JPY,2.8,3.48,3.69,7.71,Minor,Audit details 83,32,2026-12-31,Compliant,28.75,1.62,24.94,6.34,13.07,Neutral
85,Issuer_85,Technology,BBB,4723,Stock,2027-01-31,5498154.22,CNY,4.11,0.32,4.54,3.74,Moderate,Audit details 84,17,2027-01-31,Compliant,24.66,2.89,30.91,2.47,24.54,Positive
86,Issuer_86,Technology,AAA,1452,Bond,2027-02-28,5613692.43,USD,6.03,5.49,5.49,0.69,Moderate,Audit details 85,17,2027-02-28,Under Review,7.24,1.03,35.12,4.52,3.61,Neutral
87,Issuer_87,Technology,B,4108,Stock,2027-03-31,16259252.16,GBP,2.71,5.34,5.49,0.77,Minor,Audit details 86,14,2027-03-31,Non-Compliant,15.44,1.9,27.98,9.72,16.33,Positive
88,Issuer_88,Technology,AAA,2183,Bond,2027-04-30,48996015.9,JPY,1.33,3.56,2.02,1.04,Minor,Audit details 87,9,2027-04-30,Compliant,26.98,2.8,0.49,3.32,0.17,Neutral
89,Issuer_89,Energy,AA,4062,Stock,2027-05-31,9591183.22,USD,0.76,8.94,6.85,8.4,Minor,Audit details 88,40,2027-05-31,Under Review,28.62,0.31,16.32,6.91,9.74,Positive
90,Issuer_90,Healthcare,BBB,3056,Bond,2027-06-30,1840893.99,JPY,9.41,1.29,0.88,9.11,Severe,Audit details 89,2,2027-06-30,Under Review,16.69,2.81,25.89,3.93,10.99,Negative
91,Issuer_91,Healthcare,BBB,4304,Bond,2027-07-31,38404856.73,JPY,4.17,3.3,1.39,1.23,None,Audit details 90,45,2027-07-31,Under Review,20.34,2.06,4.39,7.96,11.89,Neutral
92,Issuer_92,Technology,B,4170,Stock,2027-08-31,40538735.88,GBP,5.81,3.22,0.03,2.36,Minor,Audit details 91,25,2027-08-31,Non-Compliant,9.18,0.2,17.53,2.18,20.86,Neutral
93,Issuer_93,Healthcare,AA,2682,Bond,2027-09-30,17968911.73,EUR,9.19,0.92,1.17,1.66,Minor,Audit details 92,39,2027-09-30,Compliant,29.78,0.9,1.66,9.73,11.66,Positive
94,Issuer_94,Healthcare,A,3863,Bond,2027-10-31,23769016.83,CNY,0.83,4.81,4.73,1.86,Minor,Audit details 93,9,2027-10-31,Under Review,10.79,2.12,3.93,5.08,13.46,Positive
95,Issuer_95,Technology,AAA,3255,Stock,2027-11-30,32838910.45,CNY,8.77,6.88,6.06,8.37,Moderate,Audit details 94,22,2027-11-30,Non-Compliant,28.57,0.2,19.85,3.12,7.13,Neutral
96,Issuer_96,Healthcare,BB,2154,Bond,2027-12-31,3354887.29,GBP,5.52,5.12,7.94,3.32,Moderate,Audit details 95,43,2027-12-31,Non-Compliant,21.24,1.75,6.64,1.66,11.2,Positive
97,Issuer_97,Consumer Goods,AAA,1403,Bond,2028-01-31,47508140.85,JPY,1.65,1.57,1.07,3.11,Severe,Audit details 96,46,2028-01-31,Non-Compliant,20.19,1.04,28.38,2.53,6.82,Neutral
98,Issuer_98,Finance,AAA,3199,Bond,2028-02-29,44447338.98,USD,4.11,3.77,8.51,2.27,None,Audit details 97,4,2028-02-29,Under Review,17.82,1.86,34.47,5.68,2.2,Negative
99,Issuer_99,Finance,A,3101,Stock,2028-03-31,13783787.54,JPY,7.78,0.03,7.46,6.08,Severe,Audit details 98,26,2028-03-31,Compliant,10.77,0.14,40.03,4.03,18.1,Positive
100,Issuer_100,Technology,AAA,4191,Bond,2028-04-30,1749922.47,GBP,4.8,8.68,4.09,3.79,None,Audit details 99,29,2028-04-30,Under Review,9.41,2.61,10.01,8.46,20.05,Neutral
