CustomerID,Age,EmploymentStatus,AnnualIncome,CreditScore,DebtToIncomeRatio,LoanAmount,LoanPurpose,LoanDuration,RepaymentHistory,ComplianceFlag,RiskLevel
106,41,Unemployed,66341.0,400,0.31,42244,Mortgage,5,0,Compliant,Low
107,18,Self-Employed,42253.0,835,0.28,35024,Personal,30,2,Non-Compliant,High
108,61,Self-Employed,50663.0,822,0.39,35734,Education,10,4,Non-Compliant,Low
109,25,Employed,31439.0,751,0.34,5515,Personal,15,0,Non-Compliant,Medium
110,41,Self-Employed,59438.0,730,0.41,6191,Education,10,2,Non-Compliant,Medium
111,28,Employed,52864.0,832,0.39,37264,Education,10,4,Compliant,Low
112,68,Unemployed,36581.0,592,0.07,48628,Mortgage,15,2,Compliant,High
113,34,Employed,36783.0,400,0.48,11297,Mortgage,15,4,Compliant,Medium
114,25,Employed,74239.0,801,0.07,32856,Education,10,4,Compliant,Medium
115,52,Employed,79575.0,603,0.42,13334,Mortgage,15,0,Compliant,Low
116,52,Employed,46802.0,839,0.25,29162,Personal,5,1,Non-Compliant,Medium
117,50,Unemployed,51016.0,654,0.31,11008,Mortgage,15,4,Non-Compliant,Medium
118,22,Unemployed,56001.0,602,0.54,12987,Mortgage,15,4,Non-Compliant,High
119,59,Self-Employed,52220.0,795,0.53,35966,Personal,10,0,Compliant,High
120,56,Unemployed,24885.0,526,0.49,8332,Mortgage,5,1,Non-Compliant,High
121,58,Unemployed,56418.0,535,0.31,5787,Education,20,3,Compliant,Low
122,45,Self-Employed,18681.0,754,0.44,43990,Personal,20,3,Compliant,Medium
123,24,Unemployed,39009.0,312,0.31,14873,Education,30,1,Compliant,Low
124,26,Employed,57581.0,509,0.52,22006,Personal,15,2,Non-Compliant,Medium
125,25,Employed,58999.0,696,0.24,25225,Education,15,0,Compliant,Medium
126,29,Self-Employed,37848.0,399,0.58,41444,Education,5,1,Compliant,Medium
127,51,Self-Employed,43123.0,330,0.56,40340,Mortgage,20,3,Non-Compliant,High
128,50,Self-Employed,41092.0,827,0.44,44683,Education,30,4,Compliant,Low
129,65,Employed,48457.0,628,0.17,10033,Mortgage,5,3,Non-Compliant,Low
130,40,Unemployed,49598.0,465,0.08,12788,Personal,15,4,Compliant,Medium
131,41,Employed,60027.0,758,0.51,20689,Education,20,0,Non-Compliant,Low
132,54,Self-Employed,42246.0,399,0.1,49220,Education,30,4,Compliant,High
133,52,Unemployed,55600.0,472,0.51,26598,Personal,10,1,Compliant,Low
134,61,Unemployed,57605.0,461,0.29,42480,Personal,20,4,Non-Compliant,Medium
135,57,Employed,52974.0,562,0.24,34703,Education,30,2,Compliant,High
136,39,Self-Employed,46105.0,573,0.54,5066,Personal,5,1,Non-Compliant,High
137,44,Employed,52709.0,302,0.36,12533,Mortgage,10,0,Compliant,Medium
138,52,Unemployed,61276.0,327,0.35,20103,Personal,30,1,Non-Compliant,Low
139,18,Employed,62587.0,625,0.34,9616,Personal,30,2,Compliant,Medium
140,52,Employed,77230.0,448,0.22,43498,Education,15,0,Compliant,Low
141,54,Self-Employed,35149.0,839,0.47,48492,Mortgage,20,3,Compliant,Low
142,64,Self-Employed,43399.0,787,0.15,16772,Personal,15,2,Non-Compliant,High
143,31,Unemployed,25797.0,737,0.56,28849,Mortgage,10,0,Non-Compliant,Medium
144,20,Employed,63965.0,364,0.54,17940,Mortgage,30,4,Non-Compliant,High
145,18,Employed,44982.0,655,0.2,21932,Mortgage,15,1,Non-Compliant,Medium
146,22,Employed,53092.0,832,0.44,34769,Education,20,0,Non-Compliant,Medium
147,43,Unemployed,40934.0,551,0.34,29648,Personal,10,1,Compliant,High
148,31,Unemployed,45099.0,534,0.2,37966,Education,5,4,Compliant,Medium
149,56,Self-Employed,68347.0,526,0.59,32777,Personal,15,0,Compliant,Medium
150,44,Self-Employed,60413.0,824,0.02,37567,Personal,10,3,Compliant,Low
151,26,Self-Employed,48327.0,612,0.15,22174,Education,5,2,Compliant,Medium
152,32,Employed,61517.0,348,0.31,47598,Mortgage,15,0,Non-Compliant,Medium
153,32,Employed,61848.0,417,0.31,18798,Mortgage,10,4,Compliant,High
154,43,Self-Employed,44128.0,353,0.35,22558,Personal,10,0,Non-Compliant,High
155,59,Employed,27963.0,343,0.45,49237,Education,15,1,Compliant,Medium
156,30,Self-Employed,36512.0,352,0.37,5178,Mortgage,10,0,Non-Compliant,Low
157,68,Unemployed,29892.0,824,0.36,25470,Mortgage,30,3,Non-Compliant,Low
158,49,Self-Employed,67466.0,401,0.03,22118,Personal,15,0,Non-Compliant,High
159,56,Unemployed,70071.0,697,0.23,27616,Personal,10,2,Compliant,Medium
160,66,Employed,73795.0,437,0.14,5798,Education,5,0,Compliant,Medium
161,69,Self-Employed,19706.0,686,0.16,12601,Personal,5,1,Compliant,Low
162,49,Employed,66071.0,410,0.33,30363,Mortgage,30,0,Compliant,Low
163,21,Unemployed,83182.0,316,0.12,7795,Mortgage,15,3,Non-Compliant,Low
164,47,Unemployed,66679.0,481,0.18,36926,Mortgage,10,4,Non-Compliant,High
165,54,Unemployed,17731.0,835,0.14,42356,Mortgage,10,0,Non-Compliant,Medium
166,40,Employed,76524.0,840,0.57,12297,Education,5,0,Non-Compliant,High
167,56,Employed,50625.0,470,0.57,8084,Education,30,2,Compliant,Medium
168,62,Employed,46514.0,708,0.37,35329,Personal,5,3,Non-Compliant,High
169,32,Employed,56766.0,677,0.55,16110,Personal,5,4,Compliant,Medium
170,60,Unemployed,34264.0,487,0.47,5731,Personal,30,1,Non-Compliant,Low
171,46,Unemployed,50041.0,529,0.35,6129,Education,15,0,Non-Compliant,Low
172,53,Self-Employed,74306.0,418,0.0,33022,Mortgage,10,4,Non-Compliant,Low
173,30,Self-Employed,59335.0,455,0.46,6605,Personal,15,1,Compliant,High
174,49,Employed,50876.0,764,0.42,16970,Mortgage,20,3,Compliant,Low
175,24,Unemployed,51344.0,403,0.37,48705,Personal,20,3,Non-Compliant,Medium
176,68,Unemployed,32279.0,801,0.46,49130,Personal,20,4,Non-Compliant,High
177,39,Unemployed,47750.0,474,0.31,34265,Personal,30,1,Non-Compliant,Medium
178,45,Self-Employed,25485.0,720,0.42,37330,Personal,5,3,Compliant,High
179,19,Self-Employed,65336.0,433,0.56,7933,Personal,15,4,Compliant,Medium
180,59,Unemployed,17214.0,690,0.23,20187,Mortgage,10,3,Compliant,Medium
181,62,Unemployed,62823.0,800,0.42,30791,Personal,20,3,Non-Compliant,High
182,23,Unemployed,64691.0,332,0.29,29900,Mortgage,15,3,Compliant,High
183,45,Self-Employed,69781.0,354,0.4,10074,Education,20,2,Non-Compliant,Low
184,45,Unemployed,51302.0,818,0.46,31426,Personal,20,1,Compliant,Low
185,61,Unemployed,63749.0,311,0.03,44867,Mortgage,10,4,Non-Compliant,Medium
186,61,Employed,47603.0,827,0.39,5893,Education,30,4,Non-Compliant,Medium
187,37,Employed,32199.0,672,0.14,39158,Education,5,1,Compliant,Medium
188,47,Self-Employed,72960.0,783,0.4,24773,Education,30,1,Non-Compliant,High
189,28,Unemployed,48546.0,527,0.28,9239,Mortgage,15,1,Non-Compliant,High
190,45,Unemployed,28857.0,606,0.46,25863,Personal,30,1,Non-Compliant,Low
191,42,Employed,42997.0,756,0.07,8432,Personal,15,0,Compliant,Medium
192,56,Self-Employed,43590.0,459,0.38,40139,Mortgage,15,4,Non-Compliant,Low
193,50,Employed,56925.0,630,0.17,6515,Personal,5,0,Compliant,High
194,18,Employed,85205.0,524,0.51,36670,Mortgage,10,3,Compliant,High
195,44,Employed,57836.0,803,0.56,44094,Personal,5,3,Non-Compliant,High
196,69,Employed,53102.0,755,0.6,19605,Education,30,4,Compliant,Low
197,30,Unemployed,86836.0,344,0.48,10586,Personal,15,3,Non-Compliant,High
198,58,Unemployed,64683.0,513,0.45,40685,Mortgage,20,1,Compliant,Medium
199,20,Employed,53813.0,358,0.13,36186,Mortgage,20,0,Non-Compliant,Low
200,56,Self-Employed,42808.0,494,0.2,31928,Education,15,1,Compliant,High
201,23,Self-Employed,54743.0,788,0.28,37728,Mortgage,5,3,Non-Compliant,Low
202,25,Self-Employed,49004.0,456,0.46,22551,Personal,10,0,Non-Compliant,Low
203,44,Self-Employed,51371.0,525,0.55,26493,Personal,5,1,Non-Compliant,High
204,26,Employed,69716.0,711,0.11,25711,Education,15,4,Non-Compliant,High
205,54,Unemployed,41895.0,504,0.55,25039,Mortgage,15,1,Compliant,Low
206,50,Self-Employed,57703.0,378,0.42,41561,Education,10,3,Compliant,Low
207,68,Employed,64234.0,423,0.37,14947,Personal,30,0,Non-Compliant,High
208,59,Self-Employed,40068.0,770,0.12,37335,Education,30,4,Compliant,Medium
209,61,Self-Employed,37660.0,517,0.03,20859,Mortgage,10,0,Non-Compliant,Low
210,41,Employed,47744.0,815,0.34,28122,Education,30,4,Non-Compliant,Low
211,32,Unemployed,43075.0,403,0.39,6577,Mortgage,20,0,Compliant,Medium
212,49,Unemployed,67284.0,692,0.13,47256,Mortgage,30,3,Compliant,High
213,49,Employed,34973.0,733,0.33,33350,Personal,30,4,Non-Compliant,High
214,41,Unemployed,51027.0,630,0.51,46932,Personal,30,2,Compliant,Medium
215,58,Employed,88190.0,442,0.5,38798,Personal,20,0,Non-Compliant,High
216,69,Employed,56195.0,839,0.56,36898,Mortgage,30,0,Compliant,High
217,66,Employed,58689.0,577,0.22,20881,Education,20,1,Compliant,Low
218,66,Unemployed,67410.0,532,0.19,15785,Mortgage,10,4,Compliant,Low
219,69,Employed,43055.0,828,0.45,11691,Personal,5,2,Compliant,Low
220,29,Self-Employed,33778.0,389,0.26,22297,Personal,10,3,Compliant,Medium
221,56,Unemployed,52647.0,791,0.05,11358,Education,5,1,Non-Compliant,High
222,19,Unemployed,53981.0,498,0.17,24581,Personal,10,2,Compliant,High
223,20,Unemployed,25726.0,661,0.25,6462,Personal,5,4,Compliant,Low
224,66,Unemployed,55626.0,740,0.18,20511,Personal,5,2,Non-Compliant,Low
225,54,Self-Employed,66047.0,325,0.2,15570,Education,15,0,Non-Compliant,Medium
226,66,Unemployed,36305.0,324,0.18,49414,Mortgage,5,0,Non-Compliant,High
227,34,Unemployed,56533.0,693,0.02,20474,Personal,5,1,Compliant,Medium
228,66,Employed,63383.0,806,0.38,12037,Education,15,4,Compliant,High
229,19,Unemployed,58800.0,600,0.36,33129,Personal,30,4,Non-Compliant,Medium
230,19,Self-Employed,60215.0,638,0.39,47267,Education,30,2,Non-Compliant,Low
231,45,Self-Employed,46327.0,566,0.12,18386,Personal,15,1,Non-Compliant,Medium
232,40,Self-Employed,33087.0,760,0.18,11221,Education,20,4,Non-Compliant,Medium
233,54,Self-Employed,43292.0,755,0.37,28474,Personal,5,0,Compliant,Low
234,49,Unemployed,41209.0,659,0.36,45537,Mortgage,5,2,Compliant,High
235,50,Unemployed,48796.0,367,0.3,26045,Personal,15,3,Compliant,High
236,18,Self-Employed,66399.0,711,0.21,30783,Education,15,0,Compliant,Low
237,36,Self-Employed,30322.0,790,0.55,45157,Personal,20,1,Compliant,Medium
238,19,Unemployed,52163.0,348,0.2,9922,Mortgage,30,4,Non-Compliant,Medium
239,61,Self-Employed,34048.0,401,0.27,27706,Personal,10,0,Compliant,Medium
240,43,Employed,38899.0,515,0.41,47771,Education,30,3,Non-Compliant,High
241,49,Self-Employed,58381.0,737,0.33,37479,Education,5,3,Non-Compliant,Medium
242,23,Self-Employed,32150.0,458,0.21,10178,Mortgage,15,1,Non-Compliant,High
243,49,Employed,61013.0,788,0.26,35022,Education,20,0,Compliant,Medium
244,21,Employed,29717.0,541,0.48,20240,Personal,30,2,Non-Compliant,Low
245,28,Unemployed,60004.0,304,0.17,31220,Personal,20,0,Compliant,Low
246,34,Unemployed,26757.0,660,0.09,41736,Personal,30,3,Non-Compliant,High
247,55,Employed,40732.0,758,0.19,7716,Education,5,1,Compliant,High
248,41,Employed,78447.0,547,0.51,21574,Personal,10,1,Non-Compliant,Low
249,22,Unemployed,75628.0,721,0.05,22719,Personal,20,2,Compliant,Low
250,69,Self-Employed,43812.0,314,0.6,13181,Personal,20,1,Non-Compliant,Medium
251,51,Employed,55849.0,421,0.32,49066,Mortgage,10,1,Non-Compliant,Low
252,23,Unemployed,68061.0,576,0.59,25213,Education,20,1,Non-Compliant,High
253,39,Self-Employed,60219.0,752,0.56,11380,Education,20,1,Non-Compliant,Low
254,28,Employed,45898.0,689,0.27,5615,Education,30,1,Compliant,High
255,65,Self-Employed,38770.0,593,0.12,5463,Mortgage,30,3,Compliant,High
256,33,Unemployed,63021.0,745,0.1,36973,Education,10,0,Compliant,Medium
257,50,Employed,66960.0,509,0.14,14158,Mortgage,5,4,Non-Compliant,Medium
258,26,Self-Employed,75735.0,601,0.43,25651,Mortgage,20,1,Non-Compliant,Medium
259,23,Employed,24691.0,522,0.16,8158,Education,5,4,Non-Compliant,Medium
260,33,Self-Employed,31203.0,302,0.2,25008,Personal,10,4,Non-Compliant,Low
261,46,Unemployed,67428.0,817,0.27,9938,Personal,10,3,Non-Compliant,Medium
262,20,Unemployed,26727.0,392,0.55,43185,Education,30,1,Non-Compliant,Low
263,37,Employed,68578.0,819,0.11,27388,Education,20,4,Compliant,Medium
264,53,Self-Employed,46776.0,727,0.0,13881,Mortgage,15,1,Compliant,Medium
265,36,Employed,42186.0,792,0.04,10603,Education,10,2,Compliant,High
266,43,Employed,53081.0,534,0.54,39980,Mortgage,20,2,Compliant,Low
267,20,Self-Employed,29819.0,460,0.39,27504,Education,5,2,Compliant,High
268,36,Self-Employed,62360.0,630,0.16,21766,Personal,30,4,Compliant,Medium
269,37,Self-Employed,75344.0,632,0.11,33386,Personal,5,2,Compliant,Low
270,49,Unemployed,63058.0,349,0.18,16695,Education,10,3,Compliant,Medium
271,24,Employed,46302.0,822,0.07,22796,Mortgage,10,3,Non-Compliant,High
272,69,Employed,26929.0,791,0.56,47543,Personal,5,4,Non-Compliant,Low
273,58,Unemployed,27506.0,571,0.47,19559,Mortgage,10,1,Non-Compliant,High
274,50,Self-Employed,30055.0,551,0.28,43914,Education,20,0,Non-Compliant,Medium
275,57,Unemployed,49815.0,389,0.52,38139,Education,10,1,Non-Compliant,Medium
276,56,Unemployed,51701.0,745,0.15,43333,Personal,30,1,Non-Compliant,Medium
277,35,Unemployed,63026.0,631,0.43,13802,Education,20,1,Non-Compliant,Low
278,57,Employed,23059.0,438,0.51,13307,Personal,15,1,Compliant,High
279,18,Unemployed,69668.0,656,0.21,45205,Mortgage,10,0,Compliant,High
280,28,Employed,60416.0,573,0.45,38214,Personal,10,2,Non-Compliant,Medium
281,45,Employed,45097.0,318,0.18,39159,Personal,30,1,Compliant,High
282,42,Employed,32153.0,610,0.18,16516,Mortgage,30,3,Compliant,Low
283,67,Self-Employed,68737.0,453,0.06,34086,Personal,5,4,Compliant,Medium
284,40,Employed,45498.0,689,0.26,35480,Personal,5,4,Compliant,Medium
285,48,Employed,49699.0,559,0.44,49659,Education,5,3,Compliant,Medium
286,47,Self-Employed,55754.0,424,0.56,43737,Mortgage,30,1,Non-Compliant,Low
287,59,Employed,36302.0,653,0.36,14265,Personal,5,0,Compliant,Medium
288,52,Unemployed,45767.0,572,0.52,10454,Mortgage,5,2,Non-Compliant,Medium
289,24,Unemployed,62979.0,544,0.49,40918,Mortgage,15,4,Non-Compliant,Medium
290,33,Employed,61461.0,749,0.1,31181,Personal,5,2,Non-Compliant,Medium
291,43,Self-Employed,61596.0,546,0.29,20386,Education,10,0,Compliant,High
292,65,Unemployed,32672.0,819,0.07,44182,Mortgage,30,4,Non-Compliant,Medium
293,69,Self-Employed,46451.0,440,0.41,42425,Personal,20,2,Non-Compliant,Low
294,66,Self-Employed,44054.0,661,0.57,48254,Mortgage,15,0,Non-Compliant,Medium
295,19,Unemployed,56377.0,307,0.08,29327,Education,30,2,Non-Compliant,Medium
296,18,Self-Employed,55034.0,777,0.44,26181,Education,30,1,Compliant,High
297,65,Unemployed,52331.0,651,0.38,26452,Education,10,0,Non-Compliant,Medium
298,29,Self-Employed,86986.0,794,0.35,43248,Personal,5,2,Non-Compliant,High
299,22,Unemployed,45637.0,726,0.23,45801,Personal,10,1,Non-Compliant,Low
300,54,Employed,43882.0,338,0.21,38751,Education,5,1,Non-Compliant,High
301,49,Unemployed,32648.0,486,0.03,26991,Personal,5,0,Compliant,Medium
302,26,Unemployed,26932.0,392,0.13,46311,Education,30,3,Non-Compliant,Low
303,58,Unemployed,31695.0,385,0.01,14916,Personal,5,4,Non-Compliant,Medium
304,52,Unemployed,39219.0,343,0.35,15143,Education,15,0,Non-Compliant,High
305,36,Self-Employed,69651.0,436,0.06,30855,Mortgage,15,1,Non-Compliant,Low
306,65,Employed,50587.0,720,0.52,20581,Education,15,1,Non-Compliant,Low
307,33,Unemployed,52899.0,373,0.31,6907,Education,30,0,Non-Compliant,High
308,20,Self-Employed,48555.0,847,0.42,34424,Personal,10,3,Compliant,High
309,37,Employed,55479.0,811,0.25,28308,Personal,20,4,Non-Compliant,Low
310,41,Employed,71031.0,455,0.34,46984,Personal,5,2,Compliant,Low
311,50,Employed,20091.0,554,0.57,46505,Personal,20,0,Compliant,High
312,41,Employed,68275.0,470,0.05,41942,Personal,10,4,Non-Compliant,Medium
313,69,Unemployed,12274.0,469,0.15,31957,Personal,10,4,Compliant,Low
314,28,Unemployed,50423.0,621,0.47,30464,Mortgage,30,1,Non-Compliant,High
315,66,Self-Employed,82878.0,755,0.06,28649,Education,15,2,Compliant,Medium
316,25,Self-Employed,60209.0,454,0.05,47065,Education,15,0,Non-Compliant,Low
317,53,Self-Employed,55595.0,648,0.22,32125,Education,10,1,Compliant,Low
318,55,Employed,80029.0,750,0.06,39758,Mortgage,30,1,Compliant,High
319,57,Employed,39454.0,472,0.35,10596,Education,30,3,Non-Compliant,Medium
320,37,Unemployed,56509.0,309,0.14,21374,Mortgage,5,4,Compliant,Low
321,52,Employed,58671.0,564,0.54,8775,Mortgage,15,0,Compliant,Medium
322,65,Employed,42163.0,737,0.47,32388,Mortgage,10,0,Compliant,Medium
323,42,Employed,43488.0,546,0.42,26029,Education,20,0,Compliant,Low
324,52,Self-Employed,41843.0,845,0.37,23445,Mortgage,15,1,Compliant,Medium
325,42,Self-Employed,51309.0,798,0.52,19645,Education,5,3,Non-Compliant,Low
326,46,Unemployed,58200.0,428,0.13,36105,Education,30,2,Compliant,Medium
327,35,Employed,51848.0,626,0.52,18668,Personal,10,1,Compliant,Low
328,63,Employed,60641.0,703,0.47,20960,Personal,15,2,Non-Compliant,High
329,35,Unemployed,20462.0,658,0.45,16357,Mortgage,20,3,Non-Compliant,Low
330,19,Employed,46726.0,316,0.34,42203,Mortgage,5,4,Non-Compliant,Low
331,52,Employed,34648.0,573,0.15,20804,Education,5,0,Compliant,Low
332,33,Self-Employed,54525.0,415,0.25,19626,Mortgage,15,2,Compliant,Medium
333,58,Unemployed,54303.0,390,0.48,33132,Mortgage,20,1,Compliant,High
334,53,Unemployed,48265.0,381,0.02,12951,Education,5,2,Compliant,Medium
