Transaction ID,Date,Amount,Currency,Type,Status,Compliance Flag,Audit ID,Audit Date,Reviewer ID,Decision,Notes,Incident ID,Incident Date,Risk Level,Action Taken,Regulation,Compliance Status
14,2023-01-01,9263.41,GBP,ACH,Completed,False,1014,2023-01-01,1008,Rejected,All good,2014,2023-01-01,Low,No Action,PSD2,Compliant
15,2023-01-01,803.26,GBP,ACH,Pending,True,1015,2023-01-01,1014,Rejected,Check details,2015,2023-01-01,Medium,No Action,PSD2,Non-Compliant
16,2023-01-01,962.58,GBP,Mobile Payment,Pending,False,1016,2023-01-01,1004,Escalated,Check details,2016,2023-01-01,High,No Action,Dodd-Frank Act,Compliant
17,2023-01-01,300.16,USD,Wire Transfer,Completed,True,1017,2023-01-01,1011,Rejected,High amount,2017,2023-01-01,High,No Action,PSD2,Compliant
18,2023-01-01,8342.94,USD,Mobile Payment,Flagged,False,1018,2023-01-01,1004,Approved,High amount,2018,2023-01-01,Low,No Action,Dodd-Frank Act,Compliant
19,2023-01-01,7803.75,EUR,Wire Transfer,Pending,True,1019,2023-01-01,1006,Escalated,High amount,2019,2023-01-01,High,No Action,BSA,Compliant
20,2023-01-01,8713.12,USD,Mobile Payment,Pending,False,1020,2023-01-01,1006,Escalated,All good,2020,2023-01-01,Medium,No Action,PSD2,Non-Compliant
21,2023-01-01,9788.32,EUR,Mobile Payment,Pending,True,1021,2023-01-01,1002,Escalated,All good,2021,2023-01-01,Medium,Escalation,PSD2,Compliant
22,2023-01-01,8011.67,USD,ACH,Completed,False,1022,2023-01-01,1019,Rejected,Check details,2022,2023-01-01,Low,No Action,BSA,Non-Compliant
23,2023-01-01,4668.65,EUR,Mobile Payment,Flagged,False,1023,2023-01-01,1001,Approved,All good,2023,2023-01-01,Medium,No Action,Dodd-Frank Act,Non-Compliant
24,2023-01-01,7827.24,EUR,Wire Transfer,Completed,False,1024,2023-01-01,1013,Escalated,High amount,2024,2023-01-01,Low,Escalation,BSA,Non-Compliant
25,2023-01-02,1270.92,USD,Wire Transfer,Completed,True,1025,2023-01-02,1014,Rejected,All good,2025,2023-01-02,High,Escalation,BSA,Non-Compliant
26,2023-01-02,6435.22,USD,Mobile Payment,Completed,False,1026,2023-01-02,1003,Rejected,All good,2026,2023-01-02,Low,Escalation,PSD2,Non-Compliant
27,2023-01-02,1519.2,GBP,Wire Transfer,Flagged,True,1027,2023-01-02,1019,Escalated,Check details,2027,2023-01-02,Medium,Escalation,Dodd-Frank Act,Compliant
28,2023-01-02,9452.22,GBP,Mobile Payment,Completed,True,1028,2023-01-02,1017,Approved,High amount,2028,2023-01-02,Low,Escalation,PSD2,Compliant
29,2023-01-02,5266.3,EUR,ACH,Completed,True,1029,2023-01-02,1004,Rejected,All good,2029,2023-01-02,High,Escalation,PSD2,Compliant
30,2023-01-02,4205.15,EUR,ACH,Completed,False,1030,2023-01-02,1013,Escalated,All good,2030,2023-01-02,Medium,Review Requested,Dodd-Frank Act,Non-Compliant
31,2023-01-02,2719.1,EUR,ACH,Flagged,False,1031,2023-01-02,1009,Rejected,Check details,2031,2023-01-02,High,Review Requested,PSD2,Non-Compliant
32,2023-01-02,7764.91,USD,ACH,Flagged,False,1032,2023-01-02,1004,Approved,Check details,2032,2023-01-02,Low,Escalation,PSD2,Non-Compliant
33,2023-01-02,4615.89,USD,Mobile Payment,Flagged,True,1033,2023-01-02,1010,Approved,Check details,2033,2023-01-02,Low,Escalation,PSD2,Non-Compliant
34,2023-01-02,5727.5,GBP,Wire Transfer,Flagged,False,1034,2023-01-02,1013,Approved,High amount,2034,2023-01-02,Medium,No Action,BSA,Non-Compliant
35,2023-01-02,286.02,USD,Mobile Payment,Completed,True,1035,2023-01-02,1018,Approved,Check details,2035,2023-01-02,High,No Action,Dodd-Frank Act,Non-Compliant
36,2023-01-02,6214.59,EUR,Wire Transfer,Flagged,True,1036,2023-01-02,1012,Rejected,All good,2036,2023-01-02,High,Escalation,Dodd-Frank Act,Non-Compliant
37,2023-01-02,6159.75,GBP,Mobile Payment,Pending,False,1037,2023-01-02,1016,Approved,All good,2037,2023-01-02,Low,No Action,Dodd-Frank Act,Non-Compliant
38,2023-01-02,6207.65,USD,Wire Transfer,Completed,True,1038,2023-01-02,1001,Escalated,High amount,2038,2023-01-02,Medium,No Action,PSD2,Non-Compliant
39,2023-01-02,9443.11,EUR,Wire Transfer,Pending,True,1039,2023-01-02,1014,Approved,Check details,2039,2023-01-02,High,Escalation,PSD2,Non-Compliant
40,2023-01-02,6850.02,USD,Mobile Payment,Flagged,True,1040,2023-01-02,1007,Approved,High amount,2040,2023-01-02,Low,No Action,Dodd-Frank Act,Compliant
41,2023-01-02,3659.13,USD,ACH,Pending,False,1041,2023-01-02,1005,Escalated,High amount,2041,2023-01-02,Low,Review Requested,BSA,Non-Compliant
42,2023-01-02,4426.62,USD,Mobile Payment,Completed,True,1042,2023-01-02,1002,Approved,High amount,2042,2023-01-02,Low,Review Requested,Dodd-Frank Act,Compliant
43,2023-01-02,7006.55,EUR,ACH,Completed,False,1043,2023-01-02,1004,Approved,High amount,2043,2023-01-02,High,No Action,Dodd-Frank Act,Compliant
44,2023-01-02,696.23,EUR,Mobile Payment,Completed,True,1044,2023-01-02,1010,Escalated,Check details,2044,2023-01-02,High,Review Requested,PSD2,Compliant
45,2023-01-02,6700.99,USD,Wire Transfer,Pending,True,1045,2023-01-02,1015,Approved,High amount,2045,2023-01-02,Low,Escalation,PSD2,Compliant
46,2023-01-02,6739.31,EUR,ACH,Completed,False,1046,2023-01-02,1019,Rejected,High amount,2046,2023-01-02,Low,Escalation,PSD2,Non-Compliant
47,2023-01-02,2182.79,USD,Wire Transfer,Completed,True,1047,2023-01-02,1015,Rejected,High amount,2047,2023-01-02,High,Escalation,BSA,Compliant
48,2023-01-02,1376.37,GBP,Wire Transfer,Pending,True,1048,2023-01-02,1019,Approved,All good,2048,2023-01-02,Medium,Escalation,PSD2,Non-Compliant
49,2023-01-03,3222.74,EUR,Wire Transfer,Flagged,False,1049,2023-01-03,1010,Rejected,Check details,2049,2023-01-03,Medium,Review Requested,BSA,Compliant
50,2023-01-03,3700.74,USD,Mobile Payment,Completed,False,1050,2023-01-03,1003,Escalated,High amount,2050,2023-01-03,High,Escalation,Dodd-Frank Act,Non-Compliant
51,2023-01-03,5744.95,USD,Wire Transfer,Flagged,True,1051,2023-01-03,1011,Rejected,All good,2051,2023-01-03,High,No Action,PSD2,Compliant
52,2023-01-03,4442.15,USD,Mobile Payment,Flagged,True,1052,2023-01-03,1018,Approved,Check details,2052,2023-01-03,Low,Escalation,Dodd-Frank Act,Compliant
53,2023-01-03,9884.9,GBP,ACH,Completed,True,1053,2023-01-03,1002,Approved,High amount,2053,2023-01-03,Medium,Review Requested,PSD2,Non-Compliant
54,2023-01-03,1110.24,EUR,Wire Transfer,Pending,True,1054,2023-01-03,1018,Approved,Check details,2054,2023-01-03,Low,No Action,Dodd-Frank Act,Non-Compliant
55,2023-01-03,2167.88,USD,ACH,Flagged,True,1055,2023-01-03,1015,Approved,Check details,2055,2023-01-03,High,No Action,BSA,Compliant
56,2023-01-03,1696.96,USD,ACH,Pending,True,1056,2023-01-03,1016,Escalated,Check details,2056,2023-01-03,Low,No Action,Dodd-Frank Act,Compliant
57,2023-01-03,6565.77,USD,Mobile Payment,Completed,False,1057,2023-01-03,1019,Approved,High amount,2057,2023-01-03,Medium,Review Requested,PSD2,Non-Compliant
58,2023-01-03,2607.59,EUR,ACH,Completed,True,1058,2023-01-03,1019,Escalated,High amount,2058,2023-01-03,Low,No Action,Dodd-Frank Act,Non-Compliant
59,2023-01-03,4716.48,GBP,Mobile Payment,Completed,False,1059,2023-01-03,1012,Escalated,Check details,2059,2023-01-03,Low,Escalation,BSA,Non-Compliant
60,2023-01-03,2519.81,GBP,Mobile Payment,Completed,False,1060,2023-01-03,1006,Approved,All good,2060,2023-01-03,Low,Escalation,PSD2,Non-Compliant
61,2023-01-03,1673.8,USD,ACH,Completed,True,1061,2023-01-03,1012,Rejected,Check details,2061,2023-01-03,High,Review Requested,Dodd-Frank Act,Non-Compliant
62,2023-01-03,1192.71,USD,ACH,Completed,False,1062,2023-01-03,1007,Rejected,High amount,2062,2023-01-03,Medium,Review Requested,PSD2,Non-Compliant
63,2023-01-03,6597.66,EUR,ACH,Pending,True,1063,2023-01-03,1010,Rejected,High amount,2063,2023-01-03,Medium,Escalation,BSA,Non-Compliant
64,2023-01-03,1468.01,USD,Mobile Payment,Completed,False,1064,2023-01-03,1012,Approved,High amount,2064,2023-01-03,Low,Escalation,PSD2,Non-Compliant
65,2023-01-03,2046.17,GBP,Mobile Payment,Flagged,True,1065,2023-01-03,1016,Rejected,High amount,2065,2023-01-03,Medium,No Action,Dodd-Frank Act,Non-Compliant
66,2023-01-03,3750.38,EUR,ACH,Flagged,True,1066,2023-01-03,1013,Escalated,Check details,2066,2023-01-03,High,Escalation,PSD2,Compliant
67,2023-01-03,8227.83,EUR,Mobile Payment,Completed,False,1067,2023-01-03,1013,Rejected,All good,2067,2023-01-03,Low,Escalation,BSA,Non-Compliant
68,2023-01-03,1061.3,USD,ACH,Pending,False,1068,2023-01-03,1014,Escalated,Check details,2068,2023-01-03,High,Escalation,BSA,Non-Compliant
69,2023-01-03,8395.65,GBP,Mobile Payment,Completed,True,1069,2023-01-03,1006,Rejected,High amount,2069,2023-01-03,Low,No Action,Dodd-Frank Act,Compliant
70,2023-01-03,1051.37,EUR,Mobile Payment,Completed,False,1070,2023-01-03,1019,Escalated,Check details,2070,2023-01-03,Low,No Action,PSD2,Non-Compliant
71,2023-01-03,9766.95,EUR,Wire Transfer,Completed,True,1071,2023-01-03,1010,Rejected,All good,2071,2023-01-03,High,Review Requested,PSD2,Compliant
72,2023-01-03,4739.65,USD,Wire Transfer,Completed,True,1072,2023-01-03,1009,Rejected,All good,2072,2023-01-03,Low,No Action,BSA,Compliant
73,2023-01-04,9769.93,GBP,ACH,Pending,False,1073,2023-01-04,1009,Escalated,Check details,2073,2023-01-04,High,Escalation,BSA,Non-Compliant
74,2023-01-04,6087.97,GBP,Wire Transfer,Flagged,False,1074,2023-01-04,1009,Rejected,All good,2074,2023-01-04,Low,Review Requested,Dodd-Frank Act,Compliant
75,2023-01-04,7418.71,EUR,Mobile Payment,Flagged,True,1075,2023-01-04,1001,Rejected,Check details,2075,2023-01-04,High,Escalation,BSA,Compliant
76,2023-01-04,487.96,GBP,ACH,Flagged,True,1076,2023-01-04,1001,Rejected,Check details,2076,2023-01-04,Medium,Escalation,BSA,Non-Compliant
77,2023-01-04,2899.79,USD,Wire Transfer,Flagged,True,1077,2023-01-04,1013,Approved,All good,2077,2023-01-04,Medium,Escalation,PSD2,Compliant
78,2023-01-04,1289.95,USD,ACH,Flagged,True,1078,2023-01-04,1019,Approved,High amount,2078,2023-01-04,Low,Escalation,PSD2,Compliant
79,2023-01-04,3031.79,EUR,ACH,Flagged,True,1079,2023-01-04,1016,Rejected,Check details,2079,2023-01-04,Medium,Review Requested,Dodd-Frank Act,Compliant
80,2023-01-04,1275.4,EUR,Mobile Payment,Pending,True,1080,2023-01-04,1013,Rejected,All good,2080,2023-01-04,High,Review Requested,PSD2,Non-Compliant
81,2023-01-04,3248.03,GBP,Wire Transfer,Completed,True,1081,2023-01-04,1018,Approved,Check details,2081,2023-01-04,High,No Action,Dodd-Frank Act,Non-Compliant
82,2023-01-04,4201.2,USD,Mobile Payment,Pending,False,1082,2023-01-04,1010,Escalated,All good,2082,2023-01-04,High,No Action,Dodd-Frank Act,Non-Compliant
83,2023-01-04,735.06,GBP,ACH,Pending,True,1083,2023-01-04,1014,Rejected,All good,2083,2023-01-04,High,Escalation,PSD2,Non-Compliant
84,2023-01-04,6955.47,GBP,ACH,Pending,True,1084,2023-01-04,1003,Rejected,Check details,2084,2023-01-04,Low,Review Requested,BSA,Compliant
85,2023-01-04,5709.35,EUR,ACH,Pending,True,1085,2023-01-04,1001,Escalated,Check details,2085,2023-01-04,High,Review Requested,Dodd-Frank Act,Compliant
86,2023-01-04,2727.36,USD,Wire Transfer,Pending,True,1086,2023-01-04,1010,Escalated,Check details,2086,2023-01-04,Low,Escalation,PSD2,Non-Compliant
87,2023-01-04,5280.16,USD,Mobile Payment,Pending,False,1087,2023-01-04,1007,Escalated,High amount,2087,2023-01-04,Medium,Escalation,BSA,Compliant
88,2023-01-04,1030.01,GBP,Mobile Payment,Completed,True,1088,2023-01-04,1004,Rejected,High amount,2088,2023-01-04,Medium,No Action,Dodd-Frank Act,Compliant
89,2023-01-04,5801.87,USD,Wire Transfer,Pending,False,1089,2023-01-04,1007,Escalated,Check details,2089,2023-01-04,Medium,Escalation,Dodd-Frank Act,Compliant
90,2023-01-04,9300.03,USD,Mobile Payment,Pending,False,1090,2023-01-04,1002,Escalated,All good,2090,2023-01-04,Medium,Review Requested,Dodd-Frank Act,Non-Compliant
91,2023-01-04,3253.83,GBP,Mobile Payment,Flagged,False,1091,2023-01-04,1002,Approved,Check details,2091,2023-01-04,High,No Action,PSD2,Compliant
92,2023-01-04,6707.36,EUR,ACH,Flagged,False,1092,2023-01-04,1006,Escalated,All good,2092,2023-01-04,High,No Action,BSA,Compliant
93,2023-01-04,1404.8,EUR,ACH,Completed,False,1093,2023-01-04,1002,Rejected,All good,2093,2023-01-04,Low,Review Requested,Dodd-Frank Act,Compliant
94,2023-01-04,7191.64,EUR,ACH,Pending,False,1094,2023-01-04,1002,Rejected,Check details,2094,2023-01-04,High,No Action,BSA,Compliant
95,2023-01-04,2965.12,GBP,Wire Transfer,Flagged,False,1095,2023-01-04,1004,Approved,Check details,2095,2023-01-04,Medium,No Action,PSD2,Non-Compliant
96,2023-01-04,1913.59,USD,ACH,Pending,False,1096,2023-01-04,1006,Rejected,Check details,2096,2023-01-04,Low,Review Requested,BSA,Compliant
97,2023-01-05,5906.48,GBP,Mobile Payment,Flagged,False,1097,2023-01-05,1019,Rejected,Check details,2097,2023-01-05,Medium,No Action,BSA,Compliant
98,2023-01-05,299.06,GBP,Wire Transfer,Flagged,True,1098,2023-01-05,1002,Approved,High amount,2098,2023-01-05,High,No Action,PSD2,Compliant
99,2023-01-05,8306.51,EUR,Mobile Payment,Flagged,True,1099,2023-01-05,1004,Escalated,Check details,2099,2023-01-05,Low,Review Requested,PSD2,Compliant
100,2023-01-05,146.49,USD,Wire Transfer,Flagged,False,1100,2023-01-05,1014,Escalated,Check details,2100,2023-01-05,Low,Escalation,PSD2,Non-Compliant
101,2023-01-05,6810.38,EUR,Mobile Payment,Pending,False,1101,2023-01-05,1003,Rejected,All good,2101,2023-01-05,High,Review Requested,Dodd-Frank Act,Compliant
102,2023-01-05,2773.08,USD,Wire Transfer,Completed,False,1102,2023-01-05,1016,Approved,High amount,2102,2023-01-05,Low,No Action,Dodd-Frank Act,Compliant
103,2023-01-05,7378.42,USD,Mobile Payment,Flagged,True,1103,2023-01-05,1012,Escalated,All good,2103,2023-01-05,Low,No Action,PSD2,Non-Compliant
104,2023-01-05,9625.67,EUR,ACH,Flagged,True,1104,2023-01-05,1002,Rejected,All good,2104,2023-01-05,Low,Review Requested,PSD2,Compliant
105,2023-01-05,2562.66,EUR,Wire Transfer,Completed,False,1105,2023-01-05,1010,Escalated,All good,2105,2023-01-05,High,Review Requested,PSD2,Compliant
106,2023-01-05,5803.96,GBP,Mobile Payment,Pending,False,1106,2023-01-05,1010,Rejected,Check details,2106,2023-01-05,High,Review Requested,BSA,Compliant
107,2023-01-05,5961.22,USD,Mobile Payment,Flagged,True,1107,2023-01-05,1012,Escalated,High amount,2107,2023-01-05,Medium,Review Requested,BSA,Compliant
108,2023-01-05,5765.29,USD,Mobile Payment,Completed,False,1108,2023-01-05,1017,Escalated,All good,2108,2023-01-05,Low,Review Requested,PSD2,Compliant
109,2023-01-05,2308.51,USD,Mobile Payment,Pending,True,1109,2023-01-05,1010,Rejected,All good,2109,2023-01-05,Low,No Action,PSD2,Compliant
110,2023-01-05,9532.22,USD,ACH,Pending,True,1110,2023-01-05,1001,Escalated,High amount,2110,2023-01-05,Low,Review Requested,Dodd-Frank Act,Non-Compliant
111,2023-01-05,4526.54,USD,ACH,Pending,False,1111,2023-01-05,1005,Rejected,All good,2111,2023-01-05,Medium,Escalation,BSA,Compliant
112,2023-01-05,8479.45,GBP,Wire Transfer,Pending,True,1112,2023-01-05,1012,Approved,Check details,2112,2023-01-05,Medium,Review Requested,Dodd-Frank Act,Compliant
113,2023-01-05,7024.84,USD,Wire Transfer,Pending,True,1113,2023-01-05,1004,Escalated,All good,2113,2023-01-05,Medium,Escalation,PSD2,Non-Compliant
114,2023-01-05,3044.63,GBP,Mobile Payment,Flagged,True,1114,2023-01-05,1013,Approved,Check details,2114,2023-01-05,Medium,No Action,BSA,Compliant
115,2023-01-05,8156.6,EUR,Wire Transfer,Flagged,True,1115,2023-01-05,1003,Rejected,High amount,2115,2023-01-05,Medium,Review Requested,BSA,Non-Compliant
116,2023-01-05,4025.41,GBP,Mobile Payment,Pending,False,1116,2023-01-05,1001,Escalated,Check details,2116,2023-01-05,Low,Review Requested,BSA,Compliant
117,2023-01-05,8822.92,GBP,Wire Transfer,Completed,True,1117,2023-01-05,1005,Escalated,High amount,2117,2023-01-05,Medium,Escalation,BSA,Non-Compliant
118,2023-01-05,5854.6,GBP,Wire Transfer,Pending,False,1118,2023-01-05,1011,Escalated,High amount,2118,2023-01-05,Low,Review Requested,PSD2,Non-Compliant
119,2023-01-05,8829.18,EUR,Mobile Payment,Flagged,True,1119,2023-01-05,1004,Approved,Check details,2119,2023-01-05,Medium,Escalation,Dodd-Frank Act,Compliant
120,2023-01-05,6956.06,USD,ACH,Completed,False,1120,2023-01-05,1012,Escalated,All good,2120,2023-01-05,Medium,Escalation,BSA,Compliant
121,2023-01-06,7280.02,GBP,Mobile Payment,Flagged,True,1121,2023-01-06,1010,Escalated,All good,2121,2023-01-06,High,Review Requested,BSA,Non-Compliant
122,2023-01-06,5063.11,EUR,ACH,Flagged,True,1122,2023-01-06,1006,Rejected,All good,2122,2023-01-06,High,Review Requested,Dodd-Frank Act,Compliant
123,2023-01-06,9565.23,GBP,Wire Transfer,Completed,True,1123,2023-01-06,1002,Escalated,All good,2123,2023-01-06,Low,Escalation,BSA,Non-Compliant
124,2023-01-06,6475.5,GBP,ACH,Pending,False,1124,2023-01-06,1004,Escalated,All good,2124,2023-01-06,Low,Review Requested,BSA,Compliant
125,2023-01-06,4296.16,EUR,Mobile Payment,Pending,False,1125,2023-01-06,1011,Approved,Check details,2125,2023-01-06,High,Escalation,PSD2,Non-Compliant
126,2023-01-06,6103.29,GBP,Wire Transfer,Flagged,True,1126,2023-01-06,1017,Approved,High amount,2126,2023-01-06,Low,No Action,Dodd-Frank Act,Non-Compliant
127,2023-01-06,290.01,GBP,ACH,Completed,False,1127,2023-01-06,1002,Escalated,All good,2127,2023-01-06,Low,Escalation,Dodd-Frank Act,Non-Compliant
128,2023-01-06,3085.59,USD,ACH,Completed,True,1128,2023-01-06,1004,Approved,High amount,2128,2023-01-06,Medium,No Action,Dodd-Frank Act,Non-Compliant
129,2023-01-06,6635.72,EUR,Mobile Payment,Flagged,True,1129,2023-01-06,1014,Escalated,All good,2129,2023-01-06,High,Escalation,BSA,Compliant
130,2023-01-06,2971.77,GBP,Wire Transfer,Completed,True,1130,2023-01-06,1005,Escalated,All good,2130,2023-01-06,Medium,No Action,Dodd-Frank Act,Non-Compliant
131,2023-01-06,6218.35,EUR,Wire Transfer,Flagged,True,1131,2023-01-06,1009,Escalated,All good,2131,2023-01-06,Medium,Escalation,PSD2,Compliant
132,2023-01-06,4344.81,EUR,ACH,Completed,False,1132,2023-01-06,1006,Escalated,Check details,2132,2023-01-06,High,No Action,PSD2,Non-Compliant
133,2023-01-06,1441.19,USD,ACH,Pending,True,1133,2023-01-06,1011,Escalated,High amount,2133,2023-01-06,High,Escalation,PSD2,Compliant
134,2023-01-06,3053.0,USD,ACH,Flagged,False,1134,2023-01-06,1001,Approved,Check details,2134,2023-01-06,Medium,No Action,BSA,Compliant
135,2023-01-06,5742.65,USD,Wire Transfer,Completed,True,1135,2023-01-06,1004,Rejected,High amount,2135,2023-01-06,Low,Review Requested,Dodd-Frank Act,Non-Compliant
136,2023-01-06,5949.64,GBP,ACH,Completed,True,1136,2023-01-06,1009,Escalated,All good,2136,2023-01-06,Low,No Action,BSA,Compliant
137,2023-01-06,5785.82,GBP,ACH,Completed,False,1137,2023-01-06,1014,Escalated,All good,2137,2023-01-06,High,No Action,BSA,Non-Compliant
138,2023-01-06,6566.69,GBP,Wire Transfer,Flagged,False,1138,2023-01-06,1001,Escalated,All good,2138,2023-01-06,Medium,No Action,Dodd-Frank Act,Non-Compliant
139,2023-01-06,6555.82,GBP,Wire Transfer,Completed,False,1139,2023-01-06,1011,Escalated,Check details,2139,2023-01-06,High,Escalation,BSA,Non-Compliant
140,2023-01-06,4371.04,GBP,Mobile Payment,Completed,True,1140,2023-01-06,1006,Approved,High amount,2140,2023-01-06,High,Review Requested,Dodd-Frank Act,Non-Compliant
141,2023-01-06,8975.81,GBP,Wire Transfer,Completed,True,1141,2023-01-06,1009,Escalated,High amount,2141,2023-01-06,Low,Review Requested,PSD2,Compliant
142,2023-01-06,3738.86,EUR,Wire Transfer,Flagged,True,1142,2023-01-06,1014,Rejected,High amount,2142,2023-01-06,Medium,Escalation,PSD2,Non-Compliant
143,2023-01-06,4415.06,EUR,Mobile Payment,Flagged,False,1143,2023-01-06,1003,Rejected,Check details,2143,2023-01-06,Medium,No Action,BSA,Compliant
144,2023-01-06,8930.04,USD,Wire Transfer,Pending,True,1144,2023-01-06,1001,Escalated,High amount,2144,2023-01-06,Medium,Escalation,PSD2,Compliant
145,2023-01-07,8081.32,GBP,Mobile Payment,Flagged,False,1145,2023-01-07,1013,Escalated,High amount,2145,2023-01-07,Low,No Action,Dodd-Frank Act,Compliant
146,2023-01-07,7068.5,EUR,Wire Transfer,Flagged,True,1146,2023-01-07,1008,Escalated,Check details,2146,2023-01-07,Medium,Review Requested,PSD2,Compliant
147,2023-01-07,1092.25,USD,Mobile Payment,Flagged,False,1147,2023-01-07,1017,Rejected,Check details,2147,2023-01-07,High,Review Requested,Dodd-Frank Act,Compliant
148,2023-01-07,9202.88,USD,ACH,Pending,True,1148,2023-01-07,1016,Approved,High amount,2148,2023-01-07,Low,Escalation,PSD2,Compliant
149,2023-01-07,7170.99,USD,ACH,Pending,True,1149,2023-01-07,1018,Approved,High amount,2149,2023-01-07,High,Escalation,PSD2,Compliant
150,2023-01-07,9988.59,USD,ACH,Completed,False,1150,2023-01-07,1001,Approved,Check details,2150,2023-01-07,High,Escalation,PSD2,Compliant
151,2023-01-07,1579.54,EUR,Mobile Payment,Flagged,True,1151,2023-01-07,1001,Rejected,Check details,2151,2023-01-07,Medium,Escalation,Dodd-Frank Act,Compliant
152,2023-01-07,8694.45,EUR,ACH,Completed,True,1152,2023-01-07,1012,Rejected,Check details,2152,2023-01-07,Low,No Action,PSD2,Compliant
153,2023-01-07,1708.68,EUR,Wire Transfer,Completed,False,1153,2023-01-07,1011,Approved,Check details,2153,2023-01-07,High,Escalation,BSA,Compliant
154,2023-01-07,6194.04,USD,Mobile Payment,Completed,True,1154,2023-01-07,1007,Escalated,Check details,2154,2023-01-07,Medium,No Action,PSD2,Non-Compliant
155,2023-01-07,1325.82,USD,Wire Transfer,Flagged,False,1155,2023-01-07,1019,Escalated,Check details,2155,2023-01-07,High,Escalation,BSA,Compliant
156,2023-01-07,8495.28,GBP,Wire Transfer,Flagged,False,1156,2023-01-07,1002,Approved,All good,2156,2023-01-07,High,No Action,BSA,Compliant
157,2023-01-07,8092.46,GBP,Wire Transfer,Pending,True,1157,2023-01-07,1006,Approved,High amount,2157,2023-01-07,Medium,No Action,BSA,Compliant
158,2023-01-07,5734.1,USD,Mobile Payment,Pending,True,1158,2023-01-07,1018,Rejected,High amount,2158,2023-01-07,High,Escalation,PSD2,Compliant
159,2023-01-07,4131.11,EUR,Wire Transfer,Completed,False,1159,2023-01-07,1011,Rejected,High amount,2159,2023-01-07,Low,Escalation,PSD2,Compliant
160,2023-01-07,784.75,USD,ACH,Completed,False,1160,2023-01-07,1013,Rejected,Check details,2160,2023-01-07,Medium,Review Requested,Dodd-Frank Act,Non-Compliant
161,2023-01-07,7004.54,GBP,Mobile Payment,Flagged,True,1161,2023-01-07,1010,Approved,All good,2161,2023-01-07,Low,Escalation,Dodd-Frank Act,Non-Compliant
162,2023-01-07,4590.07,GBP,ACH,Pending,True,1162,2023-01-07,1018,Approved,High amount,2162,2023-01-07,Low,Escalation,BSA,Compliant
163,2023-01-07,7248.35,EUR,Mobile Payment,Completed,True,1163,2023-01-07,1004,Escalated,All good,2163,2023-01-07,Low,No Action,BSA,Non-Compliant
164,2023-01-07,8677.19,USD,Wire Transfer,Completed,False,1164,2023-01-07,1009,Rejected,All good,2164,2023-01-07,High,No Action,PSD2,Non-Compliant
165,2023-01-07,9757.66,GBP,ACH,Pending,False,1165,2023-01-07,1003,Escalated,Check details,2165,2023-01-07,Medium,Escalation,BSA,Non-Compliant
166,2023-01-07,8572.45,EUR,Mobile Payment,Flagged,False,1166,2023-01-07,1011,Escalated,High amount,2166,2023-01-07,High,No Action,Dodd-Frank Act,Non-Compliant
